Node,ZeroAct,UpAct,DownAct,AvgAct,NodeType,degree_upstream,degree_downstream,degree_total
CAMKK2,47.8260869565217,0,52.1739130434783,-52.1739130434783,,1,4,5
CANX_S583,0,100,0,100,T,0,4,4
CARHSP1_S41,0,100,0,100,T,0,2,2
CAV2_Y19,0,100,0,100,T,0,1,1
CAVIN1_S300,0,100,0,100,T,0,1,1
CBL,0,100,0,100,,3,4,7
CBL_S483,0,100,0,100,T,0,6,6
CCDC82_S154,0,100,0,100,T,0,1,1
CCDC88A_S1416,0,100,0,100,T,0,1,1
CCNB1,0,100,0,100,S,2,0,2
CCND1,86.9565217391304,0,13.0434782608696,-13.0434782608696,,1,1,2
CD44_S697,0,100,0,100,T,0,1,1
CDC20_T106,0,100,0,100,T,0,1,1
CDK1,0,100,0,100,S,26,0,26
CDK13_S317,0,0,100,-100,T,0,1,1
CDK16_S193,0,100,0,100,T,0,3,3
CDK2,0,100,0,100,S,31,0,31
CDK4,0,100,0,100,,11,1,12
CDK5,0,100,0,100,,15,1,16
CDK6,0,0,100,-100,,1,2,3
CDK9_S347,0,100,0,100,T,0,1,1
CDKN1A_S130,0,100,0,100,T,0,10,10
CDKN2A,13.0434782608696,86.9565217391304,0,86.9565217391304,,1,1,2
CHEK1,0,100,0,100,,8,5,13
CHGA_S322,0,0,100,-100,T,0,1,1
CHGB_S405,0,0,100,-100,T,0,1,1
CNP_S9,0,0,100,-100,T,0,1,1
CRYAB_S59,0,100,0,100,T,0,1,1
CSK,0,100,0,100,,4,1,5
CSNK1E,0,0,100,-100,,5,1,6
CSNK2A1,0,0,100,-100,S,10,0,10
CSNK2A2,0,0,100,-100,S,4,0,4
CTNNA1_S641,0,0,100,-100,T,0,1,1
CTNNB1_S191,0,100,0,100,T,0,3,3
CTTNBP2NL_S563,0,100,0,100,T,0,1,1
DAB2_S401,0,100,0,100,T,0,1,1
DAPK1,0,100,0,100,,4,3,7
DDI2_S194,0,100,0,100,T,0,1,1
DNMT1_S714,0,100,0,100,T,0,1,1
DUSP16_S501,0,100,0,100,T,0,1,1
DVL3,0,0,100,-100,,1,2,3
DYRK2,0,100,0,100,S,3,0,3
ECT2_T359,0,100,0,100,T,0,1,1
EDC3_S161,0,100,0,100,T,0,1,1
EEF2K,0,100,0,100,,2,2,4
EEF2K_S441,0,100,0,100,T,0,1,1
EEF2K_S500,0,100,0,100,T,0,2,2
EGF,0,100,0,100,S,19,0,19
EGLN1_S125,0,100,0,100,T,0,1,1
EIF2AK2,0,0,100,-100,,1,1,2
EIF2B5_S544,0,0,100,-100,T,0,1,1
EIF4EBP1_S65,0,100,0,100,T,0,7,7
EIF4EBP1_S94,0,100,0,100,T,0,1,1
EIF4ENIF1_S564,0,100,0,100,T,0,4,4
EIF5B_S1168,0,100,0,100,T,0,1,1
ELK1_S324,0,100,0,100,T,0,4,4
EML4_S134,0,100,0,100,T,0,1,1
EPB41_S521,0,100,0,100,T,0,1,1
EPHA4,0,100,0,100,,1,1,2
ERRFI1_S302,0,100,0,100,T,0,1,1
EZH2_T487,0,100,0,100,T,0,3,3
FAM53C_S122,0,100,0,100,T,0,1,1
FCER1G_Y76,0,100,0,100,T,0,2,2
FGFR1,0,100,0,100,,1,2,3
FGFR1OP_S156,0,100,0,100,T,0,2,2
FGFR4,60.8695652173913,39.1304347826087,0,39.1304347826087,,1,1,2
FLNA_S1459,0,100,0,100,T,0,1,1
FMNL2_S1016,0,100,0,100,T,0,2,2
FOSL2_S230,0,100,0,100,T,0,1,1
FOXO3_S253,0,100,0,100,T,0,3,3
GJB1_S233,0,0,100,-100,T,0,1,1
GOLGA2_S37,0,100,0,100,T,0,1,1
GOLGA4_S71,0,100,0,100,T,0,1,1
GRB10_S104,0,100,0,100,T,0,2,2
GRK2_S670,0,100,0,100,T,0,7,7
GSK3A,0,100,0,100,,5,4,9
H1FX_S31,0,100,0,100,T,0,1,1
HCLS1_S275,0,100,0,100,T,0,1,1
HCLS1_T308,0,100,0,100,T,0,1,1
HIF1A_S667,0,100,0,100,T,0,1,1
HIPK1,0,0,100,-100,,1,1,2
HIRIP3_S289,0,0,100,-100,T,0,1,1
HOXB6_S214,0,0,100,-100,T,0,1,1
HSF1,95.6521739130435,0,4.34782608695652,-4.34782608695652,,1,4,5
HSP90AA1_S353,0,0,100,-100,T,0,2,2
HSP90AA1_S374,0,0,100,-100,T,0,1,1
HSP90AA1_S385,0,0,100,-100,T,0,2,2
HSPB1_S15,0,100,0,100,T,0,4,4
HSPB1_S82,0,100,0,100,T,0,7,7
HSPB8_T87,0,100,0,100,T,0,2,2
HTATSF1_S616,0,0,100,-100,T,0,1,1
HTATSF1_S624,0,0,100,-100,T,0,1,1
IFI16_S153,0,100,0,100,T,0,2,2
IFNAR2_S400,0,100,0,100,T,0,1,1
IKBKB,0,100,0,100,S,2,0,2
IKBKE,0,100,0,100,S,2,0,2
IL16_S922,0,100,0,100,T,0,2,2
IQGAP1_S330,0,100,0,100,T,0,1,1
IRS2_S915,0,100,0,100,T,0,1,1
ITGA4_S1021,0,100,0,100,T,0,3,3
JPT2_S97,0,100,0,100,T,0,1,1
KHSRP,95.6521739130435,4.34782608695652,0,4.34782608695652,,1,2,3
KSR1_S751,0,100,0,100,T,0,1,1
LAD1_S177,0,0,100,-100,T,0,1,1
LARP1_T449,0,100,0,100,T,0,1,1
LARP1_T693,0,100,0,100,T,0,1,1
LCP1_S5,0,100,0,100,T,0,6,6
LCP1_S7,0,100,0,100,T,0,3,3
LDHA_Y39,0,100,0,100,T,0,1,1
LIG1_S141,0,100,0,100,T,0,1,1
LIG1_S76,0,100,0,100,T,0,5,5
LIG1_T182,0,100,0,100,T,0,1,1
LIMA1_S374,0,100,0,100,T,0,1,1
LRRK2,0,100,0,100,S,6,0,6
LRRK2_S910,0,100,0,100,T,0,5,5
LRRK2_S935,0,100,0,100,T,0,6,6
LSP1_S252,0,100,0,100,T,0,2,2
LYN,0,100,0,100,,5,1,6
MAP2K6,30.4347826086957,69.5652173913043,0,69.5652173913043,,3,2,5
MAP2K7,69.5652173913043,30.4347826086957,0,30.4347826086957,,1,1,2
MAP3K11_S793,0,100,0,100,T,0,1,1
MAP3K7,0,100,0,100,S,6,0,6
MAP4_S696,0,100,0,100,T,0,2,2
MAPK1,0,100,0,100,S,20,0,20
MAPK10,0,100,0,100,,9,2,11
MAPK14,0,0,100,-100,,10,1,11
MAPK15,0,100,0,100,S,3,0,3
MAPK3,0,100,0,100,S,16,0,16
MAPK3_Y204,0,100,0,100,T,0,5,5
MAPK6,0,0,100,-100,,1,1,2
MAPK8,0,100,0,100,S,13,0,13
MAPK9,0,100,0,100,S,12,0,12
MAPKAPK2,0,100,0,100,S,6,0,6
MAPKAPK3,0,100,0,100,S,2,0,2
MAPKAPK5,0,0,100,-100,,3,1,4
MAPT,0,0,100,-100,,4,5,9
MAPT_S235,0,0,100,-100,T,0,1,1
MAPT_S512,0,0,100,-100,T,0,1,1
MAPT_S515,0,0,100,-100,T,0,3,3
MAPT_S519,0,0,100,-100,T,0,2,2
MAPT_S531,0,100,0,100,T,0,3,3
MAPT_T529,0,100,0,100,T,0,4,4
MAPT_Y514,0,0,100,-100,T,0,1,1
MARCKS_S46,0,100,0,100,T,0,5,5
MATR3_S4,0,100,0,100,T,0,1,1
MCM2_S139,0,100,0,100,T,0,1,1
MET,0,100,0,100,,1,2,3
MET_T977,0,100,0,100,T,0,1,1
MKI67_S374,0,100,0,100,T,0,1,1
MPLKIP_S104,0,100,0,100,T,0,1,1
MTOR,0,100,0,100,S,4,0,4
MUC1_Y238,0,0,100,-100,T,0,1,1
MYBBP1A_S1310,0,100,0,100,T,0,1,1
MYH10_S1983,0,0,100,-100,T,0,1,1
MYH10_S1987,0,0,100,-100,T,0,1,1
MYLK_S1208,0,0,100,-100,T,0,1,1
MYLK_S1760,0,0,100,-100,T,0,2,2
MYO9B_S1267,0,100,0,100,T,0,1,1
NAP1L1_T62,0,100,0,100,T,0,1,1
NCF1_S320,0,100,0,100,T,0,6,6
NCF2_T233,0,100,0,100,T,0,1,1
NCL_S67,0,100,0,100,T,0,2,2
NCL_T121,0,100,0,100,T,0,4,4
NCOR2_T1383,0,100,0,100,T,0,1,1
NDRG1_S330,0,100,0,100,T,0,2,2
NDRG1_S364,0,100,0,100,T,0,1,1
NDRG1_T366,0,100,0,100,T,0,2,2
NEK2,0,0,100,-100,,1,1,2
NES_T315,0,0,100,-100,T,0,1,1
NFATC2_S223,0,100,0,100,T,0,2,2
NME2_S44,0,0,100,-100,T,0,1,1
NME2_T94,0,100,0,100,T,0,1,1
NMT1_S47,0,100,0,100,T,0,1,1
NOS1_S852,0,0,100,-100,T,0,1,1
NPM1_S88,0,0,100,-100,T,0,1,1
NPM1_Y67,0,100,0,100,T,0,1,1
OGFR_S378,0,100,0,100,T,0,1,1
OXSR1,0,0,100,-100,,1,1,2
PAGE4_T51,0,0,100,-100,T,0,1,1
PAK1,0,100,0,100,S,6,0,6
PAK2,0,0,100,-100,,2,1,3
PAK2_S141,0,100,0,100,T,0,1,1
PAK6,0,0,100,-100,,1,1,2
PAK6_S560,0,0,100,-100,T,0,1,1
PALM_T141,0,0,100,-100,T,0,1,1
PARK7,0,0,100,-100,,1,1,2
PDHA1_S293,0,0,100,-100,T,0,1,1
PDLIM5_T417,0,0,100,-100,T,0,1,1
PDPK1,0,0,100,-100,,5,2,7
PEAK1_Y635,0,100,0,100,T,0,1,1
PI4KB_S277,0,100,0,100,T,0,1,1
PI4KB_S511,0,100,0,100,T,0,1,1
PIK3CA,60.8695652173913,0,39.1304347826087,-39.1304347826087,,2,1,3
PIK3CG,39.1304347826087,0,60.8695652173913,-60.8695652173913,,2,1,3
PKM,0,100,0,100,,1,1,2
PKN1,0,100,0,100,S,5,0,5
PLEC_S1435,0,100,0,100,T,0,1,1
PLEC_S720,0,100,0,100,T,0,2,2
PLEC_T2886,0,100,0,100,T,0,1,1
PLK1,0,100,0,100,S,5,0,5
PMAIP1,0,100,0,100,S,2,0,2
PML_S505,0,100,0,100,T,0,2,2
PPP1CA_T320,0,100,0,100,T,0,5,5
PPP1R13L_S187,0,100,0,100,T,0,8,8
PPP1R13L_S280,0,100,0,100,T,0,8,8
PPP1R13L_S526,0,100,0,100,T,0,5,5
PPP1R13L_Y109,0,100,0,100,T,0,2,2
PPP1R13L_Y132,0,100,0,100,T,0,1,1
PPP1R35_S45,0,100,0,100,T,0,1,1
PPP1R35_S47,0,100,0,100,T,0,1,1
PPP1R35_S52,0,100,0,100,T,0,1,1
PPP2R5C,52.1739130434783,47.8260869565217,0,47.8260869565217,,2,1,3
PPP2R5D_S573,0,100,0,100,T,0,2,2
PREX1_S319,0,100,0,100,T,0,1,1
PRKACA,0,100,0,100,S,37,0,37
PRKACB,0,0,100,-100,,3,2,5
PRKAR1A,39.1304347826087,60.8695652173913,0,60.8695652173913,,1,3,4
PRKAR2B,60.8695652173913,39.1304347826087,0,39.1304347826087,,1,1,2
PRKCA,0,100,0,100,S,13,0,13
PRKCA_S226,0,0,100,-100,T,0,1,1
PRKCB,0,100,0,100,S,8,0,8
PRKCD,4.34782608695652,95.6521739130435,0,95.6521739130435,,6,4,10
PRKCD_S130,0,0,100,-100,T,0,1,1
PRKCG,0,0,100,-100,,4,1,5
PRKCI,0,100,0,100,,2,1,3
PRKCQ,0,100,0,100,,2,1,3
PRKDC,0,0,100,-100,,2,2,4
PRKX,0,100,0,100,S,9,0,9
PRKY,0,100,0,100,S,8,0,8
PRPF4B_S387,0,0,100,-100,T,0,1,1
PSMD11_S14,0,100,0,100,T,0,1,1
PTPN12_S435,0,100,0,100,T,0,5,5
PTPRC,0,100,0,100,,1,1,2
RAB10_T73,0,100,0,100,T,0,1,1
RAB1A_T75,0,100,0,100,T,0,1,1
RAB7A_S72,0,100,0,100,T,0,1,1
RAC1,0,100,0,100,S,4,0,4
RAD50_S635,0,100,0,100,T,0,2,2
RB1_S249,0,100,0,100,T,0,4,4
RCC1_S11,0,100,0,100,T,0,1,1
RCSD1_S216,0,100,0,100,T,0,1,1
RGS14_S20,0,100,0,100,T,0,1,1
RIOK2_S380,0,100,0,100,T,0,1,1
RPP30_S251,0,100,0,100,T,0,1,1
RPS6KA1,0,100,0,100,,4,2,6
RPS6KA3,0,0,100,-100,,15,1,16
SAFB_S604,0,100,0,100,T,0,1,1
SAP30_S138,0,100,0,100,T,0,1,1
SCAF11_S1127,0,100,0,100,T,0,1,1
SDC4,4.34782608695652,0,95.6521739130435,-95.6521739130435,,1,1,2
SEPT5_S327,0,100,0,100,T,0,2,2
SF3B1_S129,0,100,0,100,T,0,1,1
SF3B1_T426,0,100,0,100,T,0,1,1
SGK1,0,100,0,100,S,6,0,6
SHC1_S139,0,100,0,100,T,0,3,3
SIK1,0,100,0,100,,1,1,2
SIPA1_S74,0,100,0,100,T,0,1,1
SLC12A1_S130,0,0,100,-100,T,0,1,1
SLC12A1_T118,0,0,100,-100,T,0,1,1
SLC9A3R1_S280,0,100,0,100,T,0,1,1
SMAD1_S132,0,100,0,100,T,0,1,1
SMARCA2_S1568,0,0,100,-100,T,0,1,1
SMARCA5_S137,0,100,0,100,T,0,1,1
SNRK,0,100,0,100,,1,1,2
SPN_S351,0,100,0,100,T,0,1,1
SPTAN1_S1217,0,0,100,-100,T,0,1,1
SQSTM1_S272,0,100,0,100,T,0,2,2
SQSTM1_T269,0,100,0,100,T,0,1,1
SRC,0,100,0,100,,9,3,12
SRRM1_S429,0,0,100,-100,T,0,1,1
SRRM2_S2581,0,100,0,100,T,0,1,1
SRRM2_S424,0,100,0,100,T,0,2,2
SRRM2_S954,0,0,100,-100,T,0,1,1
SRSF1_S199,0,0,100,-100,T,0,1,1
STK11,0,100,0,100,,2,3,5
STK24,0,100,0,100,,1,1,2
STK3,0,0,100,-100,,2,2,4
STK38,0,100,0,100,,1,1,2
STMN1_S16,0,100,0,100,T,0,5,5
STOM_S10,0,100,0,100,T,0,3,3
TAGLN_S181,0,0,100,-100,T,0,1,1
TAOK3_S324,0,100,0,100,T,0,1,1
TBC1D4_S588,0,0,100,-100,T,0,2,2
TBK1,0,100,0,100,S,3,0,3
TH_S19,0,0,100,-100,T,0,1,1
TH_S40,0,0,100,-100,T,0,2,2
TIAM1_S231,0,100,0,100,T,0,1,1
TOP2B_S1408,0,0,100,-100,T,0,1,1
TP53BP1_S1683,0,100,0,100,T,0,1,1
TPR_S2155,0,100,0,100,T,0,2,2
TRA2B_S264,0,0,100,-100,T,0,1,1
TTBK1,0,0,100,-100,S,3,0,3
UHMK1,0,100,0,100,S,1,0,1
UNG_T60,0,100,0,100,T,0,3,3
VIM_S22,0,100,0,100,T,0,1,1
VIM_S412,0,100,0,100,T,0,2,2
VIM_S5,0,100,0,100,T,0,1,1
VIM_S51,0,100,0,100,T,0,6,6
VIM_S83,0,100,0,100,T,0,4,4
VIM_Y117,0,100,0,100,T,0,1,1
WEE1,0,100,0,100,,4,1,5
WNK1,0,0,100,-100,,1,1,2
XPC_S94,0,0,100,-100,T,0,1,1
YES1,0,0,100,-100,,2,1,3
ZAP70,0,0,100,-100,,3,1,4
